,est,date
604,136.46503608858686,2018-04-23
605,136.4132691533206,2018-04-24
606,134.72768382026842,2018-04-25
607,135.01374833595608,2018-04-26
608,135.96964079388937,2018-04-27
609,135.8039446598643,2018-04-30
610,135.18060063262132,2018-05-01
611,135.48192863140468,2018-05-02
612,134.57027582959915,2018-05-03
613,134.32211479952724,2018-05-04
614,135.9036049680724,2018-05-07
615,136.12089493032727,2018-05-08
616,136.40905314281386,2018-05-09
617,137.80489397154315,2018-05-10
618,138.78434503009234,2018-05-11
619,139.04419223433524,2018-05-14
620,139.31942995865936,2018-05-15
621,138.59984125617066,2018-05-16
622,139.3107968741786,2018-05-17
623,139.0953869712361,2018-05-18
624,138.9653040328469,2018-05-21
625,139.99335234593693,2018-05-22
626,139.22974954933835,2018-05-23
627,139.90151557102075,2018-05-24
628,139.5295366700382,2018-05-25
629,139.3961707886942,2018-05-29
630,138.114073553806,2018-05-30
631,139.85401056953762,2018-05-31
632,138.3819553771033,2018-06-01
633,140.2973444857874,2018-06-04
634,140.5816786887099,2018-06-05
635,140.9528014877698,2018-06-06
636,142.29517749461868,2018-06-07
637,141.8344152438497,2018-06-08
638,142.63081185836288,2018-06-11
639,142.72671280293665,2018-06-12
640,143.08848179682977,2018-06-13
641,142.5838637236912,2018-06-14
642,143.0629172912212,2018-06-15
643,142.76178320535683,2018-06-18
644,142.73410191828387,2018-06-19
645,142.28611076796784,2018-06-20
646,142.6131433650075,2018-06-21
647,141.60412045122246,2018-06-22
648,141.9360556797641,2018-06-25
649,139.92216965351506,2018-06-26
650,140.43630737430612,2018-06-27
651,138.86113892700163,2018-06-28
652,139.83282442072306,2018-06-29
653,139.56404642885363,2018-07-02
654,140.08171631614934,2018-07-03
655,139.69500353873124,2018-07-05
656,140.93686095737033,2018-07-06
657,141.88392291688464,2018-07-09
658,143.17996336691988,2018-07-10
659,143.48900911004102,2018-07-11
660,142.7779667880517,2018-07-12
661,144.01203828260435,2018-07-13
662,143.74043211844045,2018-07-16
663,143.7888009586757,2018-07-17
664,144.4483000567198,2018-07-18
665,144.62125558440152,2018-07-19
666,144.36756764641157,2018-07-20
667,144.22576945555596,2018-07-23
668,144.40894025630274,2018-07-24
669,144.65664784580846,2018-07-25
670,145.86887260545674,2018-07-26
671,145.39582301520716,2018-07-27
672,144.65879289440144,2018-07-30
673,143.83640833319356,2018-07-31
674,144.50525695463983,2018-08-01
675,144.0338646918117,2018-08-02
676,145.08706151688943,2018-08-03
677,145.39888164280572,2018-08-06
678,146.14088703158563,2018-08-07
679,146.57843585394326,2018-08-08
680,146.4548008995326,2018-08-09
681,146.5001681375452,2018-08-10
682,145.64483461119968,2018-08-13
683,145.18487265399963,2018-08-14
684,145.98605695898442,2018-08-15
685,144.68873830503063,2018-08-16
686,146.04852301841268,2018-08-17
687,146.23229845204733,2018-08-20
688,146.63765435834264,2018-08-21
689,147.2454526387119,2018-08-22
690,147.2202739843496,2018-08-23
691,147.07534558511787,2018-08-24
692,147.98199497859264,2018-08-27
693,148.86535193335186,2018-08-28
694,148.88184130106058,2018-08-29
695,149.8889420020387,2018-08-30
696,149.14697132714838,2018-08-31
697,149.46286195216905,2018-09-04
698,149.1568498747044,2018-09-05
699,148.72919551610593,2018-09-06
700,148.32128777719325,2018-09-07
701,147.9694538533232,2018-09-10
702,148.2276107498501,2018-09-11
703,148.63128778286247,2018-09-12
704,148.5834403750671,2018-09-13
705,149.43132228763366,2018-09-14
706,149.39657862498157,2018-09-17
707,148.68352692457927,2018-09-18
708,149.52322190729663,2018-09-19
709,149.25005224796436,2018-09-20
710,150.56696602331712,2018-09-21
711,150.16400027125383,2018-09-24
712,149.95994725405095,2018-09-25
713,149.91445539437234,2018-09-26
714,149.29634135732147,2018-09-27
715,149.66440765119407,2018-09-28
716,149.57135105472875,2018-10-01
717,149.86727156876572,2018-10-02
718,149.62308617423668,2018-10-03
719,149.8833768189123,2018-10-04
720,148.6688406954474,2018-10-05
721,147.90021260079865,2018-10-08
722,147.69333257755466,2018-10-09
723,147.29646232488005,2018-10-10
724,142.99643063748977,2018-10-11
725,140.49811427344454,2018-10-12
726,141.78239669749465,2018-10-15
727,140.29709085619803,2018-10-16
728,143.83992060462353,2018-10-17
729,143.06756654834695,2018-10-18
730,141.89928765465453,2018-10-19
731,141.7311181019729,2018-10-22
732,140.88804820775138,2018-10-23
733,140.1071007665886,2018-10-24
734,136.08239523488058,2018-10-25
735,138.75794329236805,2018-10-26
736,135.35172407172212,2018-10-29
737,135.47223623940332,2018-10-30
738,137.15605452414025,2018-10-31
739,138.13451826482427,2018-11-01
740,139.85782407692733,2018-11-02
741,139.18330460857104,2018-11-05
742,140.287623106929,2018-11-06
743,140.91145548333506,2018-11-07
744,143.76075849245706,2018-11-08
745,142.9495875304722,2018-11-09
746,142.32957148880143,2018-11-12
747,139.8682624936757,2018-11-13
748,139.72817822067216,2018-11-14
749,138.33147896807867,2018-11-15
750,139.84686353543708,2018-11-16
751,139.72857302572663,2018-11-19
752,137.81268886501357,2018-11-20
753,135.7562111263155,2018-11-21
754,136.2575091069315,2018-11-23
